Name,Transliteration,Meaning,Language
Greta,,"Pearl, graceful",Lithuanian
Giedrius,,"Calm, serene",Lithuanian
Ignas,,"Fiery, passionate",Lithuanian
Ilona,,"Light, shining",Lithuanian
Indrė,,Goddess of wealth,Lithuanian
Ingrida,,"Beautiful, fair",Lithuanian
Jaimas,,Healer,Lithuanian
Janina,,God is gracious,Lithuanian
Jurgis,,"Farmer, worker",Lithuanian
Justė,,"Fair, just",Lithuanian
Karolina,,Free woman,Lithuanian
Kęstutis,,"Constant, steadfast",Lithuanian
Laima,,Goddess of fate,Lithuanian
Laurynas,,Laurelled,Lithuanian
Liutauras,,Brave as a lion,Lithuanian
Lina,,Flax,Lithuanian
Mantas,,"Brave, courageous",Lithuanian
Marija,,Sea of bitterness,Lithuanian
Marius,,"Male, manly",Lithuanian
Mindaugas,,Defender of the people,Lithuanian
Monika,,Advisor,Lithuanian
Neringa,,Namesake of a place,Lithuanian
Nerijus,,"Shining, luminous",Lithuanian
Ona,,Grace,Lithuanian
Rasa,,Dew,Lithuanian
Ričardas,,Brave ruler,Lithuanian
Rimas,,"A barrier, a boundary",Lithuanian
Rita,,Pearl,Lithuanian
Rokas,,"Rest, quiet",Lithuanian
Rūta,,Rue plant,Lithuanian
Saulius,,Sun-like,Lithuanian
Simona,,"Listener, hearer",Lithuanian
Stasys,,"Steady, firm",Lithuanian
Šarūnas,,Rising sun,Lithuanian
Tomas,,Twin,Lithuanian
Ugnius,,Fire,Lithuanian
Ugnė,,Fire,Lithuanian
Valentinas,,"Strong, brave",Lithuanian
Valdas,,Ruler,Lithuanian
Valerija,,"Healthy, strong",Lithuanian
Vaidotas,,Deliverer of justice,Lithuanian
Vaidutis,,Heroic deliverer,Lithuanian
Vaiva,,"Dream, fantasy",Lithuanian
Viktorija,,Victory,Lithuanian
Vytautas,,Defender of the land,Lithuanian
Vytenis,,Knowledgeable,Lithuanian
Živilė,,"Lively, spirited",Lithuanian
Žygimantas,,"Magnificent, great",Lithuanian
Airidas,,Brave friend,Lithuanian
Aldona,,Noble,Lithuanian
Alina,,"Bright, beautiful",Lithuanian
Arūnas,,The noble one,Lithuanian
Audrius,,"Stormy, tumultuous",Lithuanian
Ausma,,Dawn,Lithuanian
Benita,,"Blessed, fortunate",Lithuanian
Benedikta,,Blessed,Lithuanian
Brigitas,,"Strength, might",Lithuanian
Cezar,,"Emperor, ruler",Lithuanian
Danas,,Judge,Lithuanian
Darius,,Possessor of good,Lithuanian
Danguolė,,Celestial being,Lithuanian
Dainius,,"Musician, singer",Lithuanian
Diana,,"Divine, heavenly",Lithuanian
Dovydas,,Beloved friend,Lithuanian
Eglė,,Fir tree,Lithuanian
Elina,,"Light, torch",Lithuanian
Emilija,,"Rival, eager",Lithuanian
Eglė,,Fir tree,Lithuanian
Giedrius,,"Calm, serene",Lithuanian
Gediminas,,Defender of the people,Lithuanian
Greta,,"Pearl, graceful",Lithuanian
Giedrius,,"Calm, serene",Lithuanian
Ignas,,"Fiery, passionate",Lithuanian
Ilona,,"Light, shining",Lithuanian
Indrė,,Goddess of wealth,Lithuanian
Ingrida,,"Beautiful, fair",Lithuanian
Jaimas,,Healer,Lithuanian
Janina,,God is gracious,Lithuanian
Jurgis,,"Farmer, worker",Lithuanian
Justė,,"Fair, just",Lithuanian
Karolina,,Free woman,Lithuanian
Kęstutis,,"Constant, steadfast",Lithuanian
Laima,,Goddess of fate,Lithuanian
Laurynas,,Laurelled,Lithuanian
Liutauras,,Brave as a lion,Lithuanian
Lina,,Flax,Lithuanian
Mantas,,"Brave, courageous",Lithuanian
Marija,,Sea of bitterness,Lithuanian
Marius,,"Male, manly",Lithuanian
Mindaugas,,Defender of the people,Lithuanian
Monika,,Advisor,Lithuanian
Neringa,,Namesake of a place,Lithuanian
Nerijus,,"Shining, luminous",Lithuanian
Ona,,Grace,Lithuanian
Rasa,,Dew,Lithuanian
Ričardas,,Brave ruler,Lithuanian
Rimas,,"A barrier, a boundary",Lithuanian
Rita,,Pearl,Lithuanian
Rokas,,"Rest, quiet",Lithuanian
Rūta,,Rue plant,Lithuanian
Saulius,,Sun-like,Lithuanian
Simona,,"Listener, hearer",Lithuanian
Stasys,,"Steady, firm",Lithuanian
Agnese,,Pure,Latvian
Aija,,Moonlight,Latvian
Alise,,Noble,Latvian
Amanda,,Worthy of love,Latvian
Anete,,"Graceful, kind",Latvian
Anna,,Grace,Latvian
Artūrs,,"Bear, strong",Latvian
Baiba,,"White, bright",Latvian
Beatrise,,Blessed,Latvian
Brigita,,"Strength, power",Latvian
Carl,,Free man,Latvian
Edgars,,Wealthy spear,Latvian
Elīna,,"Torch, light",Latvian
Emīlija,,"Rival, eager",Latvian
Ernests,,"Serious, earnest",Latvian
Gatis,,"Strong, brave",Latvian
Ginta,,"Strong, steadfast",Latvian
Ieva,,Eve,Latvian
Ilze,,"Noble, exalted",Latvian
Jānis,,God is gracious,Latvian
Juris,,"Farmer, earth worker",Latvian
Karīna,,"Pure, beloved",Latvian
Laima,,Goddess of fate,Latvian
Līga,,Goddess of the earth,Latvian
Liene,,"Tender, delicate",Latvian
Māris,,"Male, manly",Latvian
Madara,,"Flower, plant",Latvian
Mārtiņš,,Little warrior,Latvian
Maija,,May (the month),Latvian
Marta,,"Lady, mistress",Latvian
Matīss,,Gift of God,Latvian
Melānija,,"Dark, black",Latvian
Normunds,,Protector of the north,Latvian
Oskars,,God spear,Latvian
Paula,,"Small, humble",Latvian
Raimonds,,Protector of the house,Latvian
Ralfs,,Wolf,Latvian
Roberts,,Bright fame,Latvian
Rolands,,Famous throughout the land,Latvian
Ruta,,Rue plant,Latvian
Sandris,,Defender of the people,Latvian
Sara,,"Princess, noble",Latvian
Selma,,"Divine, heavenly",Latvian
Silvija,,"Forest, wood",Latvian
Simona,,"Listener, hearer",Latvian
Skarleta,,Scarlet,Latvian
Sigita,,"Victory, success",Latvian
Signe,,"Sign, token",Latvian
Sintija,,Saint,Latvian
Sofija,,Wisdom,Latvian
Stefānija,,"Crowned, royal",Latvian
Stīna,,Stone,Latvian
Tālis,,"Far-reaching, distant",Latvian
Una,,"One, unique",Latvian
Uģis,,Protection,Latvian
Uldis,,"Wolf, guardian",Latvian
Viktorija,,Victory,Latvian
Vilnis,,Wave,Latvian
Vija,,Weave,Latvian
Zane,,"Flower, blossom",Latvian
Zinta,,"Peaceful, serene",Latvian
Zita,,Little rose,Latvian
Agnis,,Fire,Latvian
Aleksandrs,,Defender of mankind,Latvian
Alīna,,"Bright, beautiful",Latvian
Artis,,"Bear, strong",Latvian
Baiba,,"White, bright",Latvian
Beatrice,,Bringer of joy,Latvian
Brigita,,"Strength, power",Latvian
Danuta,,Giving,Latvian
Edīte,,Prosperity,Latvian
Elga,,"Sacred, holy",Latvian
Guna,,"Power, strength",Latvian
Ieva,,Eve,Latvian
Ilva,,"Protector, guard",Latvian
Indra,,Goddess of the sky,Latvian
Irēna,,"Peaceful, serene",Latvian
Jānis,,God is gracious,Latvian
Juta,,"Guardian, protector",Latvian
Kristīne,,Christian,Latvian
Laila,,Night,Latvian
Laura,,Laurel,Latvian
Leona,,Lioness,Latvian
Liene,,"Tender, delicate",Latvian
Māra,,"Mother, goddess",Latvian
Māris,,"Male, manly",Latvian
Matīss,,Gift of God,Latvian
Maija,,May (the month),Latvian
Modris,,"Modern, new",Latvian
Nadežda,,Hope,Latvian
Raitis,,"Calm, peaceful",Latvian
Rūta,,Rue plant,Latvian
Sabīne,,Newborn child,Latvian
Sandris,,Protector of the people,Latvian
Signe,,"Sign, token",Latvian
Silvija,,"Forest, wood",Latvian
Sintija,,Saint,Latvian
Sofija,,Wisdom,Latvian
Stāvs,,"Steadfast, firm",Latvian
Tālis,,"Far-reaching, distant",Latvian
Una,,"One, unique",Latvian
Uģis,,Protection,Latvian
Uldis,,"Wolf, guardian",Latvian
Viktorija,,Victory,Latvian
Vilnis,,Wave,Latvian
Vija,,Weave,Latvian
Zane,,"Flower, blossom",Latvian
Zita,,Little rose,Latvian
Aija,,Moonlight,Latvian
Alise,,Noble,Latvian
Amanda,,Worthy of love,Latvian
Anete,,"Graceful, kind",Latvian
Anna,,Grace,Latvian
Artūrs,,"Bear, strong",Latvian
Baiba,,"White, bright",Latvian
Beatrise,,Blessed,Latvian
Brigita,,"Strength, power",Latvian
Carl,,Free man,Latvian
Edgars,,Wealthy spear,Latvian
Elīna,,"Torch, light",Latvian
Emīlija,,"Rival, eager",Latvian
Ernests,,"Serious, earnest",Latvian
Gatis,,"Strong, brave",Latvian
Ginta,,"Strong, steadfast",Latvian
Ieva,,Eve,Latvian
Ilze,,"Noble, exalted",Latvian
Jānis,,God is gracious,Latvian
Juris,,"Farmer, earth worker",Latvian
Karīna,,"Pure, beloved",Latvian
Laima,,Goddess of fate,Latvian
Līga,,Goddess of the earth,Latvian
Liene,,"Tender, delicate",Latvian
Māris,,"Male, manly",Latvian
Madara,,"Flower, plant",Latvian
Mārtiņš,,Little warrior,Latvian
Maija,,May (the month),Latvian
Marta,,"Lady, mistress",Latvian
Matīss,,Gift of God,Latvian
Melānija,,"Dark, black",Latvian
Normunds,,Protector of the north,Latvian
Oskars,,God spear,Latvian
Paula,,"Small, humble",Latvian
Raimonds,,Protector of the house,Latvian
Ralfs,,Wolf,Latvian
Roberts,,Bright fame,Latvian
Rolands,,Famous throughout the land,Latvian
Ruta,,Rue plant,Latvian
Sandris,,Defender of the people,Latvian
Sara,,"Princess, noble",Latvian
Selma,,"Divine, heavenly",Latvian
Silvija,,"Forest, wood",Latvian
Simona,,"Listener, hearer",Latvian
Skarleta,,Scarlet,Latvian
Sigita,,"Victory, success",Latvian
Signe,,"Sign, token",Latvian
Sintija,,Saint,Latvian
Sofija,,Wisdom,Latvian
Stefānija,,"Crowned, royal",Latvian
Stīna,,Stone,Latvian
Tālis,,"Far-reaching, distant",Latvian
Una,,"One, unique",Latvian
Uģis,,Protection,Latvian
Uldis,,"Wolf, guardian",Latvian
Viktorija,,Victory,Latvian
Vilnis,,Wave,Latvian
Vija,,Weave,Latvian
Zane,,"Flower, blossom",Latvian
Zinta,,"Peaceful, serene",Latvian
Zita,,Little rose,Latvian
Agnis,,Fire,Latvian
Aleksandrs,,Defender of mankind,Latvian
Alīna,,"Bright, beautiful",Latvian
Artis,,"Bear, strong",Latvian
Baiba,,"White, bright",Latvian
Beatrice,,Bringer of joy,Latvian
Brigita,,"Strength, power",Latvian
Danuta,,Giving,Latvian
Edīte,,Prosperity,Latvian
Elga,,"Sacred, holy",Latvian
Guna,,"Power, strength",Latvian
Ieva,,Eve,Latvian
Ilva,,"Protector, guard",Latvian
Indra,,Goddess of the sky,Latvian
Irēna,,"Peaceful, serene",Latvian
Jānis,,God is gracious,Latvian
Juta,,"Guardian, protector",Latvian
Kristīne,,Christian,Latvian
Laila,,Night,Latvian
Laura,,Laurel,Latvian
Leona,,Lioness,Latvian
Liene,,"Tender, delicate",Latvian
Māra,,"Mother, goddess",Latvian
Māris,,"Male, manly",Latvian
Matīss,,Gift of God,Latvian
Maija,,May (the month),Latvian
Modris,,"Modern, new",Latvian
Nadežda,,Hope,Latvian
Raitis,,"Calm, peaceful",Latvian
Rūta,,Rue plant,Latvian
Sabīne,,Newborn child,Latvian
Sandris,,Protector of the people,Latvian
Aroha,,"Love, compassion",Maori
Hana,,"Flower, happiness",Maori
Hemi,,"James, supplanter",Maori
Hera,,"Heroine, white, clear",Maori
Ioane,,"John, God is gracious",Maori
Kiri,,"Skin, surface, to peel",Maori
Korina,,"Maiden, girl",Maori
Maika,,"Michael, who is like God",Maori
Mana,,"Authority, spiritual power",Maori
Matiu,,"Matthew, gift of God",Maori
Meri,,"Mary, beloved",Maori
Mikaere,,"Michael, who is like God",Maori
Miriama,,"Miriam, beloved",Maori
Ngarimu,,"To escape, to avoid",Maori
Ngahuia,,Nightingale,Maori
Nia,,"Purpose, aim",Maori
Pania,,"Maiden, girl",Maori
Rangi,,"Sky, heaven",Maori
Rewi,,"Brave, valiant",Maori
Rua,,"Two, a pit",Maori
Tāne,,"Man, male, god of forests",Maori
Tiare,,Flower,Maori
Tūī,,A native bird,Maori
Tui,,"To sew, to stitch",Maori
Uira,,"Lightning, thunder",Maori
Waiata,,"Song, hymn",Maori
Wira,,Warrior,Maori
Anahera,,Angel,Maori
Eruera,,"Edward, guardian of wealth",Maori
Hauora,,"Health, wellness",Maori
Hine,,"Girl, young woman",Maori
Hinerangi,,Beautiful woman of the sky,Maori
Hiri,,"To go, to move",Maori
Hiriata,,"Small river, gentle stream",Maori
Iona,,God is gracious,Maori
Irihāpeti,,"Elizabeth, God is my oath",Maori
Kaitāia,,"A place name, a meeting place",Maori
Karaitiana,,Christian,Maori
Karina,,"Pure, beloved",Maori
Kerewin,,The name of a bird,Maori
Kiriana,,Christian,Maori
Koia,,"Quite, calm",Maori
Korina,,"Maiden, girl",Maori
Kura,,"Treasure, red, precious",Maori
Kōwhai,,Yellow flower,Maori
Mahina,,Moon,Maori
Mahurangi,,Peaceful place,Maori
Maihi,,"Beloved, precious",Maori
Manawa,,"Heart, breath",Maori
Mātia,,Gift of God,Maori
Mātua,,"Parent, ancestor",Maori
Mereana,,"Mary, beloved",Maori
Mihirangi,,Moonlight,Maori
Moana,,"Ocean, sea",Maori
Mokopuna,,Grandchild,Maori
Muriwai,,Descendant of the waves,Maori
Niki,,Victory,Maori
Nōri,,"Norie, victory",Maori
Pakeha,,"European, stranger",Maori
Parekura,,"Precious, treasured",Maori
Pētera,,"Peter, rock",Maori
Piri,,"Close, near",Maori
Pōtiki,,Youngest child,Maori
Rāhiri,,"Sunlight, dawn",Maori
Raewyn,,"White, fair",Maori
Rangimārie,,Peaceful sky,Maori
Rāwhiti,,"Bright, clear",Maori
Rere,,"To fly, to soar",Maori
Rongo,,"Peace, god of peace",Maori
Rua,,"Pit, two",Maori
Rūhia,,"Queen, ruler",Maori
Samuela,,"Samuel, heard by God",Maori
Sāmoa,,"Place name, Samoa",Maori
Tama,,"Son, boy",Maori
Tamati,,"Thomas, twin",Maori
Tāne,,"Man, male, god of forests",Maori
Tania,,"Fair, beautiful",Maori
Tāwhirimātea,,God of the winds,Maori
Teina,,Younger sibling,Maori
Te Kani,,The red one,Maori
Te Pīriri,,The faithful one,Maori
Te Rā,,The sun,Maori
Teina,,Younger sibling,Maori
Te Uru,,The shelter,Maori
Tiki,,"Image, representation",Maori
Tūī,,A native bird,Maori
Tūreia,,The sharp one,Maori
Ururoa,,"Grey shark, great leader",Maori
Vana,,"Forest, protector",Maori
Waimarie,,"Lucky, fortunate",Maori
Waka,,"Canoe, vessel",Maori
Wiri,,Warrior,Maori
Whetū,,Star,Maori
Whiti,,White,Maori
Tātai,,"Lineage, to trace",Maori
Altan,,Golden,Mongolian
Amar,,Peaceful,Mongolian
Anar,,Pomegranate,Mongolian
Bayar,,Joy,Mongolian
Bat-Erdene,,Strong jewel,Mongolian
Bilguun,,"Wise, intelligent",Mongolian
Bilegt,,"Talented, gifted",Mongolian
Chinggis,,"Greatest, historical figure",Mongolian
Davaa,,Mountain,Mongolian
Delger,,Spacious,Mongolian
Dorgio,,Brave,Mongolian
Enebish,,Calm,Mongolian
Erdene,,Jewel,Mongolian
Ganbaatar,,Iron hero,Mongolian
Gantuya,,Peaceful,Mongolian
Gish,,Lion,Mongolian
Gombosuren,,Earth guardian,Mongolian
Gulnara,,Flower,Mongolian
Jargal,,Happiness,Mongolian
Jamsran,,Eternal,Mongolian
Javkhlan,,Clever,Mongolian
Juvsan,,"Clean, pure",Mongolian
Khasar,,"Brave, strong",Mongolian
Khulan,,Wild ass,Mongolian
Khush,,Happy,Mongolian
Khorloo,,Great strength,Mongolian
Lkhagvasuren,,Sacred star,Mongolian
Magsar,,Wisdom,Mongolian
Munkh,,Eternal,Mongolian
Naran,,Sun,Mongolian
Nyam,,Health,Mongolian
Odko,,Bright,Mongolian
Orgil,,Principle,Mongolian
Otgonbayar,,Young joy,Mongolian
Purev,,"Pure, clean",Mongolian
Saruul,,Beautiful,Mongolian
Sarnai,,Rose,Mongolian
Shuranga,,New moon,Mongolian
Soyolmaa,,"Intelligent, wise",Mongolian
Suren,,Protector,Mongolian
Tumen,,Thousand,Mongolian
Uugan,,Good heart,Mongolian
Uuriin,,"Joyful, happy",Mongolian
Urna,,Eternal light,Mongolian
Uugii,,"Brave, strong",Mongolian
Zolbayar,,Wealthy joy,Mongolian
Zorig,,Courage,Mongolian
Arslan,,Lion,Mongolian
Batbayar,,Strong joy,Mongolian
Baasan,,Father,Mongolian
Buyan,,Blessing,Mongolian
Chuluun,,Stone,Mongolian
Dalai,,Ocean,Mongolian
Ganbold,,Iron strong,Mongolian
Gana,,Song,Mongolian
Gandan,,Religious leader,Mongolian
Khishig,,"Lucky, fortunate",Mongolian
Khuvsgul,,Clear water,Mongolian
Munkhbayar,,Eternal joy,Mongolian
Narangerel,,Sunlight,Mongolian
Nyamjav,,Health joy,Mongolian
Oyun,,Thought,Mongolian
Rentsen,,Star,Mongolian
Sarangaa,,"Kind, gentle",Mongolian
Tseren,,"Bright, clear",Mongolian
Tungalag,,"Clear, pure",Mongolian
Uugiyama,,Brave mountain,Mongolian
Uyangaa,,Joyful,Mongolian
Zorigoo,,Brave one,Mongolian
Zolzaya,,Wealthy moon,Mongolian
Aiderdene,,Diamond,Mongolian
Altantsetseg,,Golden flower,Mongolian
Ankhbayar,,Eternal joy,Mongolian
Arig,,Sunlight,Mongolian
Batbold,,Strong and courageous,Mongolian
Bilguun,,Wise,Mongolian
Budaa,,Strength,Mongolian
Burmaa,,Peaceful,Mongolian
Chuluunbaatar,,Stone hero,Mongolian
Davaadorj,,Mountain protector,Mongolian
Davaasuren,,Mountain guardian,Mongolian
Dulmaa,,Peaceful heart,Mongolian
Enkhbayar,,Peaceful joy,Mongolian
Ganbaatar,,Iron hero,Mongolian
Gankhuyag,,Brave person,Mongolian
Khatanbaatar,,Brave queen,Mongolian
Khulan,,Wild horse,Mongolian
Lhagvaa,,Noble,Mongolian
Magsar,,Wise,Mongolian
Munkhzul,,Eternal goodness,Mongolian
Narangerel,,Sunlight,Mongolian
Nyamsuren,,Health guardian,Mongolian
Oyuun,,Light,Mongolian
Sukhbaatar,,Shield hero,Mongolian
Tungalag,,"Clear, pure",Mongolian
Uugii,,"Brave, strong",Mongolian
Uurag,,Joyful,Mongolian
Zolbadrakh,,Wealthy man,Mongolian
Zorigt,,Brave,Mongolian
Aagii,,Fire,Mongolian
Altankhuyag,,Golden brave,Mongolian
Amgalan,,"Peaceful, serene",Mongolian
Batbileg,,Strong wisdom,Mongolian
Bilguun,,Intelligent,Mongolian
Bolor,,Crystal,Mongolian
Chulun,,Stone,Mongolian
Davaa,,Mountain,Mongolian
Dandar,,Moonlight,Mongolian
Davaa,,Mountain,Mongolian
Delger,,Spacious,Mongolian
Enebish,,Calm,Mongolian
Erdenebat,,Precious jewel,Mongolian
Ganbold,,Iron strong,Mongolian
Gantuya,,Peaceful,Mongolian
Jargal,,Happiness,Mongolian
Jamsran,,Eternal,Mongolian
Javkhlan,,Clever,Mongolian
Juvsan,,"Clean, pure",Mongolian
Khulan,,Wild ass,Mongolian
Khush,,Happy,Mongolian
Khorloo,,Great strength,Mongolian
Lkhagvasuren,,Sacred star,Mongolian
Magsar,,Wisdom,Mongolian
Munkh,,Eternal,Mongolian
Naran,,Sun,Mongolian
Nyam,,Health,Mongolian
Odko,,Bright,Mongolian
Orgil,,Principle,Mongolian
Otgonbayar,,Young joy,Mongolian
Purev,,"Pure, clean",Mongolian
Saruul,,Beautiful,Mongolian
Sarnai,,Rose,Mongolian
Shuranga,,New moon,Mongolian
Soyolmaa,,"Intelligent, wise",Mongolian
Suren,,Protector,Mongolian
Tumen,,Thousand,Mongolian
Uugan,,Good heart,Mongolian
Uuriin,,"Joyful, happy",Mongolian
Urna,,Eternal light,Mongolian
Uugii,,"Brave, strong",Mongolian
Zolbayar,,Wealthy joy,Mongolian
Zorig,,Courage,Mongolian
Arslan,,Lion,Mongolian
Batbayar,,Strong joy,Mongolian
Baasan,,Father,Mongolian
Buyan,,Blessing,Mongolian
Chuluun,,Stone,Mongolian
Dalai,,Ocean,Mongolian
Ganbold,,Iron strong,Mongolian
Gana,,Song,Mongolian
Gandan,,Religious leader,Mongolian
Khishig,,"Lucky, fortunate",Mongolian
Khuvsgul,,Clear water,Mongolian
Munkhbayar,,Eternal joy,Mongolian
Narangerel,,Sunlight,Mongolian
Nyamjav,,Health joy,Mongolian
Oyun,,Thought,Mongolian
Rentsen,,Star,Mongolian
Sarangaa,,"Kind, gentle",Mongolian
Tseren,,"Bright, clear",Mongolian
Tungalag,,"Clear, pure",Mongolian
Uugiyama,,Brave mountain,Mongolian
Uyangaa,,Joyful,Mongolian
Zorigoo,,Brave one,Mongolian
Zolzaya,,Wealthy moon,Mongolian
Aiderdene,,Diamond,Mongolian
Altantsetseg,,Golden flower,Mongolian
Ankhbayar,,Eternal joy,Mongolian
Arig,,Sunlight,Mongolian
Batbold,,Strong and courageous,Mongolian
Bilguun,,Wise,Mongolian
Budaa,,Strength,Mongolian
Burmaa,,Peaceful,Mongolian
Chuluunbaatar,,Stone hero,Mongolian
Davaadorj,,Mountain protector,Mongolian
Davaasuren,,Mountain guardian,Mongolian
Dulmaa,,Peaceful heart,Mongolian
Enkhbayar,,Peaceful joy,Mongolian
Ganbaatar,,Iron hero,Mongolian
Gankhuyag,,Brave person,Mongolian
Khatanbaatar,,Brave queen,Mongolian
Khulan,,Wild horse,Mongolian
Lhagvaa,,Noble,Mongolian
Magsar,,Wise,Mongolian
Munkhzul,,Eternal goodness,Mongolian
Narangerel,,Sunlight,Mongolian
Nyamsuren,,Health guardian,Mongolian
Oyuun,,Light,Mongolian
Sukhbaatar,,Shield hero,Mongolian
Tungalag,,"Clear, pure",Mongolian
Uugii,,"Brave, strong",Mongolian
Uurag,,Joyful,Mongolian
Zolbadrakh,,Wealthy man,Mongolian
Zorigt,,Brave,Mongolian
Aai,,Mother,Marathi
Aakash,,Sky,Marathi
Aarav,,"Peaceful, calm",Marathi
Aarti,,"Worship, light",Marathi
Abhijit,,Victorious,Marathi
Aditya,,Sun,Marathi
Aishwarya,,"Prosperity, wealth",Marathi
Akash,,Sky,Marathi
Amol,,Priceless,Marathi
Ananya,,Unique,Marathi
Aniket,,Lord of the world,Marathi
Anil,,"Air, wind",Marathi
Anita,,Graceful,Marathi
Anuja,,Younger sister,Marathi
Arjun,,"Bright, shining",Marathi
Ashok,,Without sorrow,Marathi
Avinash,,Indestructible,Marathi
Balaji,,Lord Venkateshwara,Marathi
Bhakti,,Devotion,Marathi
Bhushan,,Ornament,Marathi
Chaitanya,,Consciousness,Marathi
Chitra,,"Picture, image",Marathi
Dattatreya,,Three-eyed deity,Marathi
Deepak,,Light,Marathi
Devendra,,King of gods,Marathi
Dharmendra,,King of righteousness,Marathi
Gaurav,,Pride,Marathi
Gita,,Sacred song,Marathi
Girish,,Lord of the mountains,Marathi
Gopal,,Protector of cows,Marathi
Harsha,,Joy,Marathi
Hemant,,Gold,Marathi
Isha,,Goddess Durga,Marathi
Ishaan,,North-east direction,Marathi
Jaya,,Victory,Marathi
Jyoti,,Light,Marathi
Kiran,,Ray of light,Marathi
Kriti,,Creation,Marathi
Lakshmi,,Goddess of wealth,Marathi
Lata,,Vine,Marathi
Madhav,,Another name for Krishna,Marathi
Manish,,Intelligent,Marathi
Meera,,Devotee of Krishna,Marathi
Mitali,,Friendship,Marathi
Mohan,,Charming,Marathi
Nandini,,Daughter,Marathi
Nikhil,,"Complete, whole",Marathi
Niranjan,,Pure,Marathi
Omkar,,Sacred sound,Marathi
Pallavi,,New leaves,Marathi
Parag,,Pollen,Marathi
Pranav,,Sacred syllable,Marathi
Pratik,,Symbol,Marathi
Preeti,,Love,Marathi
Priya,,Beloved,Marathi
Rajesh,,King of kings,Marathi
Rani,,Queen,Marathi
Ravi,,Sun,Marathi
Rekha,,"Line, pattern",Marathi
Rohan,,Ascending,Marathi
Sachin,,"Pure, truthful",Marathi
Sagar,,Ocean,Marathi
Sakshi,,Witness,Marathi
Sanjay,,Conqueror of all miseries,Marathi
Santosh,,Contentment,Marathi
Saurabh,,Fragrance,Marathi
Shakti,,Power,Marathi
Shreya,,Prosperity,Marathi
Shruti,,Hearing,Marathi
Siddharth,,One who has attained goals,Marathi
Smita,,Smile,Marathi
Snehal,,Friendly,Marathi
Suresh,,Lord of the gods,Marathi
Swati,,Star,Marathi
Tanvi,,Delicate,Marathi
Uday,,Rise,Marathi
Usha,,Dawn,Marathi
Vaibhav,,Grandeur,Marathi
Vasant,,Spring,Marathi
Vedant,,One who knows the Vedas,Marathi
Vikram,,Valor,Marathi
Vishal,,"Huge, great",Marathi
Vishal,,"Vast, grand",Marathi
Yash,,Fame,Marathi
Aakriti,,Shape,Marathi
Abhay,,Fearless,Marathi
Anil,,Air,Marathi
Asha,,Hope,Marathi
Avinash,,Indestructible,Marathi
Charul,,Beautiful,Marathi
Chetan,,Consciousness,Marathi
Dinesh,,Lord of the day,Marathi
Divya,,Divine,Marathi
Gaurav,,Pride,Marathi
Harshal,,Happiness,Marathi
Jayant,,Victorious,Marathi
Kalyani,,Auspicious,Marathi
Kamal,,Lotus,Marathi
Kiran,,Ray of light,Marathi
Manju,,Pearl,Marathi
Minal,,Precious stone,Marathi
Mohini,,Enchantress,Marathi
Namrata,,Modesty,Marathi
Neeta,,"Simple, honest",Marathi
Nilesh,,Blue gem,Marathi
Parveen,,Star,Marathi
Pranjal,,"Pure, clean",Marathi
Prithvi,,Earth,Marathi
Rajan,,King,Marathi
Ramesh,,Protector of Rama,Marathi
Reema,,White antelope,Marathi
Ruchira,,"Bright, beautiful",Marathi
Sandeep,,Light,Marathi
Sangita,,Music,Marathi
Satyam,,Truth,Marathi
Suman,,Flower,Marathi
Sundar,,Beautiful,Marathi
Supriya,,Superior,Marathi
Tanmay,,"Engrossed, absorbed",Marathi
Trisha,,Thirst,Marathi
Usha,,Dawn,Marathi
Utkarsh,,Success,Marathi
Vikas,,Development,Marathi
Vimal,,"Pure, clean",Marathi
Vinod,,Joyful,Marathi
Yuvraj,,Young prince,Marathi
Aayushi,,Long life,Marathi
Aarti,,Ritual of worship,Marathi
Aarav,,Peaceful,Marathi
Aditi,,"Boundless, mother of gods",Marathi
Amrita,,Immortal,Marathi
Anaya,,"Caring, compassionate",Marathi
Ashwini,,A star,Marathi
Avyukt,,"Clear, luminous",Marathi
Bhavana,,Feeling,Marathi
Chaitali,,Born in the month of Chaitra,Marathi
Dheeraj,,Patience,Marathi
Eshwar,,God,Marathi
Gaurav,,Honor,Marathi
Isha,,Goddess,Marathi
Kajal,,Eyeliner,Marathi
Keshav,,Another name for Krishna,Marathi
Mitali,,Friendship,Marathi
Neelam,,Sapphire,Marathi
Nitin,,Ethical,Marathi
Radhika,,Successful,Marathi
Rakhi,,Bracelet,Marathi
Rishabh,,Superior,Marathi
Ruchi,,Taste,Marathi
Sakshi,,Witness,Marathi
Shubham,,Auspicious,Marathi
Siddhi,,Achievement,Marathi
Snehal,,Affectionate,Marathi
Suman,,Flower,Marathi
Tanvi,,Delicate,Marathi
Vaibhavi,,Prosperous,Marathi
Vandana,,Worship,Marathi
Veda,,Knowledge,Marathi
Vidhya,,Knowledge,Marathi
Yashoda,,Mother of Krishna,Marathi
Anil,,"Air, wind",Marathi
Ashok,,Without sorrow,Marathi
Chhavi,,Reflection,Marathi
Daya,,Compassion,Marathi
Ekta,,Unity,Marathi
Gaurav,,Honor,Marathi
Kajal,,Eyeliner,Marathi
Kamini,,Beautiful woman,Marathi
Manish,,Intelligent,Marathi
Meenal,,Precious stone,Marathi
Mohan,,Charming,Marathi
Nisha,,Night,Marathi
